"";"antygona";"duma_i_uprzedzenie";"dziewczyna_z_tatuazem";"gra_o_tron";"jane_eyre";"kod_da_vinci";"komunikacja_radiowa_w_locie";"miecz_prawdy";"milczenie_owiec";"procedury_bezpieczenstwa_w_locie";"procedury_boeing_737";"przygotowanie_do_startu_i_ladowania";"romeo";"sklep_z_porcelana";"trzy_siostry";"wesele";"wiedzmin";"wladca_pierscieni";"zakochani_w_rzymie";"zlodziejka_ksiazek"
"dokument";0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0
"dominować";0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"domu";0;0;0;0;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0;1
"doprowadzić";1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"doskonały";0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"dostarczyć";0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0
"dostępny";0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0
"dostosowywać";0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
"doświadczenie";0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
"dotyczyć";0;0;1;2;0;4;6;0;0;2;0;7;0;0;0;0;0;0;0;0
"dowiadywać";2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"dramat";1;0;0;0;0;0;0;0;0;0;0;0;0;4;3;6;0;0;0;0
"dramatyczny";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"droga";0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1
"dwóch";0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0
"dylemat";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
"działać";0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"działanie";2;0;0;1;0;0;1;0;0;1;2;3;0;0;2;0;0;0;0;0
"dzieło";0;0;0;0;1;3;0;0;0;0;0;0;0;1;0;1;1;1;0;0
"dziewczyna";0;0;6;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;1;0
"eksplorować";0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
"element";0;0;1;1;0;1;1;0;0;0;0;1;0;1;0;1;0;0;0;1
"emocjonalny";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1
"emocjonować";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"epicki";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"epoka";0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"etap";0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
"etyka";1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ewakuacja";0;0;0;0;0;0;0;0;0;4;1;1;0;0;0;0;0;0;0;0
"fabuła";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
"fantasy";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
"fascynować";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"finale";0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"finałowy";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
"gin";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
"głęboki";0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;1;1;0;0;0
"głębszy";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"godzić";1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"gotowość";0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0
"gra";0;0;0;7;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0
"granica";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"grobowiec";2;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0
"hrabia";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
"imię";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3
"informacja";0;0;1;0;0;1;8;0;2;0;1;8;1;0;0;0;0;0;0;0
"informować";0;0;0;0;0;0;1;0;0;1;0;4;0;0;0;0;0;0;0;0
"instrukcja";0;0;0;0;0;0;8;0;0;2;1;4;0;0;0;0;0;0;0;0
"instruktaż";0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0
"inteligentny";0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"intryga";0;0;2;4;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"intrygować";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"istota";0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
"istotny";0;0;0;1;0;0;2;1;0;1;1;2;0;0;0;0;0;0;0;0
"jaki";0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"jane";0;2;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"jeden";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
"jednakże";0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"jednoczesny";0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0
"jednostka";0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0
"jedyny";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0
"język";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0
"kabina";0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0
"kamizelka";0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
"kąt";0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0
"każdy";0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0
"kierować";0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"kilka";0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0
"klucz";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"kluczowy";0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0
"kobieta";1;2;2;0;2;1;0;0;4;0;0;0;0;1;0;0;0;0;0;0
"kochać";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"kolega";0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
"kolejny";0;0;1;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0
"komunikacja";0;0;0;0;0;0;9;0;0;0;3;1;0;0;0;0;0;0;0;0
"koncentrować";0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"końcowy";0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"kończyć";1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;2
"kondycja";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;0
"konflikt";1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;5;1;0;0;0
"konfrontacja";0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
"koniec";0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0
"konieczność";1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
"konsekwencja";2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"kontakt";0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
"kontrola";0;0;0;1;0;1;10;0;0;0;8;11;0;0;0;0;0;0;0;0
"kontynuować";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1
"koordynacja";0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
"korupcja";0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"korzystać";0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0
"kraj";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0
"krasnolud";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0
"król";0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;1;3;0;0
"królestwo";0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"kryminalny";0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"książka";0;0;4;3;0;2;0;1;5;0;0;0;0;0;0;0;1;1;0;12
"księcia";0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
"który";0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"kultura";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
"kulturowy";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0
"łączność";0;0;0;0;0;0;4;0;0;0;1;1;0;0;0;0;0;0;0;0
"lądowanie";0;0;0;0;0;0;6;0;0;4;6;24;0;0;0;0;0;0;0;0
"lata";0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"legendarny";0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"lęk";0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
"lepszy";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
"licencja";0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
"linia";0;0;0;0;0;1;0;0;0;3;2;0;0;0;0;0;0;0;0;0
"literatura";0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;2;0;5
"lojalność";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"lord";0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"los";0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;4;1;0;1
"lot";0;0;0;0;0;0;14;0;0;4;7;11;0;0;0;0;0;0;0;0
